country_code,country_name,year,Individuals using the Internet (% of population)
BRN,Brunei Darussalam,2000,8.99628
BRN,Brunei Darussalam,2001,12.9178
BRN,Brunei Darussalam,2002,15.3299
BRN,Brunei Darussalam,2003,19.595
BRN,Brunei Darussalam,2004,29.7156
BRN,Brunei Darussalam,2005,36.4664
BRN,Brunei Darussalam,2006,42.1863
BRN,Brunei Darussalam,2007,44.68
BRN,Brunei Darussalam,2008,46.0
BRN,Brunei Darussalam,2009,49.0
BRN,Brunei Darussalam,2010,53.0
BRN,Brunei Darussalam,2011,56.0
BRN,Brunei Darussalam,2012,60.2731
BRN,Brunei Darussalam,2013,64.5
BRN,Brunei Darussalam,2014,68.77
BRN,Brunei Darussalam,2015,71.2
BRN,Brunei Darussalam,2016,90.0
BRN,Brunei Darussalam,2017,94.8667
BRN,Brunei Darussalam,2018,95.0
BRN,Brunei Darussalam,2019,95.0
BRN,Brunei Darussalam,2020,95.0503
BRN,Brunei Darussalam,2021,95.6225
BRN,Brunei Darussalam,2022,98.9704
,,2023,98.9704
,,2024,98.9704
,,2025,98.9704
,,2026,98.9704
,,2027,98.9704
,,2028,98.9704
,,2029,98.9704
,,2030,98.9704
,,2031,98.9704
,,2032,98.9704
,,2033,98.9704
,,2034,98.9704
,,2035,98.9704
IDN,Indonesia,2000,0.925564
IDN,Indonesia,2001,2.01861
IDN,Indonesia,2002,2.13414
IDN,Indonesia,2003,2.38702
IDN,Indonesia,2004,2.60029
IDN,Indonesia,2005,3.60202
IDN,Indonesia,2006,4.76481
IDN,Indonesia,2007,5.78627
IDN,Indonesia,2008,7.91748
IDN,Indonesia,2009,6.92
IDN,Indonesia,2010,10.92
IDN,Indonesia,2011,12.28
IDN,Indonesia,2012,14.52
IDN,Indonesia,2013,14.94
IDN,Indonesia,2014,17.1432
IDN,Indonesia,2015,22.0627
IDN,Indonesia,2016,25.4474
IDN,Indonesia,2017,32.3358
IDN,Indonesia,2018,39.9046
IDN,Indonesia,2019,47.6906
IDN,Indonesia,2020,53.7265
IDN,Indonesia,2021,62.1045
IDN,Indonesia,2022,66.4846
IDN,Indonesia,2023,69.2084
,,2024,69.2084
,,2025,69.2084
,,2026,69.2084
,,2027,69.2084
,,2028,69.2084
,,2029,69.2084
,,2030,69.2084
,,2031,69.2084
,,2032,69.2084
,,2033,69.2084
,,2034,69.2084
,,2035,69.2084
KHM,Cambodia,2000,0.0470226
KHM,Cambodia,2001,0.0769561
KHM,Cambodia,2002,0.226983
KHM,Cambodia,2003,0.26057
KHM,Cambodia,2004,0.300437
KHM,Cambodia,2005,0.317322
KHM,Cambodia,2006,0.468357
KHM,Cambodia,2007,0.49
KHM,Cambodia,2008,0.51
KHM,Cambodia,2009,0.53
KHM,Cambodia,2010,1.26
KHM,Cambodia,2011,3.1
KHM,Cambodia,2012,4.94
KHM,Cambodia,2013,6.0
KHM,Cambodia,2014,14.0
KHM,Cambodia,2015,6.43319
KHM,Cambodia,2016,32.3985
KHM,Cambodia,2017,32.9003
,,2018,42.6031
KHM,Cambodia,2019,52.3059
KHM,Cambodia,2020,53.6508
KHM,Cambodia,2021,55.6004
KHM,Cambodia,2022,56.7328
,,2023,56.7328
,,2024,56.7328
,,2025,56.7328
,,2026,56.7328
,,2027,56.7328
,,2028,56.7328
,,2029,56.7328
,,2030,56.7328
,,2031,56.7328
,,2032,56.7328
,,2033,56.7328
,,2034,56.7328
,,2035,56.7328
LAO,Lao PDR,2000,0.111044
LAO,Lao PDR,2001,0.181664
LAO,Lao PDR,2002,0.267899
LAO,Lao PDR,2003,0.333912
LAO,Lao PDR,2004,0.361434
LAO,Lao PDR,2005,0.850357
LAO,Lao PDR,2006,1.16989
LAO,Lao PDR,2007,1.64
LAO,Lao PDR,2008,3.55
LAO,Lao PDR,2009,6.0
LAO,Lao PDR,2010,7.0
LAO,Lao PDR,2011,9.0
LAO,Lao PDR,2012,10.7477
LAO,Lao PDR,2013,12.5
LAO,Lao PDR,2014,14.26
LAO,Lao PDR,2015,18.2
LAO,Lao PDR,2016,21.87
LAO,Lao PDR,2017,25.5104
LAO,Lao PDR,2018,36.3
LAO,Lao PDR,2019,47.0323
LAO,Lao PDR,2020,54.0
LAO,Lao PDR,2021,62.0
LAO,Lao PDR,2022,66.1548
,,2023,66.1548
,,2024,66.1548
,,2025,66.1548
,,2026,66.1548
,,2027,66.1548
,,2028,66.1548
,,2029,66.1548
,,2030,66.1548
,,2031,66.1548
,,2032,66.1548
,,2033,66.1548
,,2034,66.1548
,,2035,66.1548
,,2000,0.000289277
MMR,Myanmar,2001,0.000289277
MMR,Myanmar,2002,0.000426494
MMR,Myanmar,2003,0.0240641
MMR,Myanmar,2004,0.0243374
MMR,Myanmar,2005,0.0652389
MMR,Myanmar,2006,0.182048
MMR,Myanmar,2007,0.217128
MMR,Myanmar,2008,0.22
MMR,Myanmar,2009,0.22
MMR,Myanmar,2010,0.25
MMR,Myanmar,2011,0.98
MMR,Myanmar,2012,1.4
MMR,Myanmar,2013,1.8
MMR,Myanmar,2014,7.4
MMR,Myanmar,2015,10.9
MMR,Myanmar,2016,16.0
MMR,Myanmar,2017,23.6211
MMR,Myanmar,2018,33.7204
MMR,Myanmar,2019,48.1377
MMR,Myanmar,2020,41.95429049
MMR,Myanmar,2021,44.02167324
,,2022,44.02167324
,,2023,44.02167324
,,2024,44.02167324
,,2025,44.02167324
,,2026,44.02167324
,,2027,44.02167324
,,2028,44.02167324
,,2029,44.02167324
,,2030,44.02167324
,,2031,44.02167324
,,2032,44.02167324
,,2033,44.02167324
,,2034,44.02167324
,,2035,44.02167324
MYS,Malaysia,2000,21.3847
MYS,Malaysia,2001,26.696
MYS,Malaysia,2002,32.3382
MYS,Malaysia,2003,34.9712
MYS,Malaysia,2004,42.2523
MYS,Malaysia,2005,48.6292
MYS,Malaysia,2006,51.638
MYS,Malaysia,2007,55.7
MYS,Malaysia,2008,55.8
MYS,Malaysia,2009,55.9
MYS,Malaysia,2010,56.3
MYS,Malaysia,2011,61.0
MYS,Malaysia,2012,65.8
MYS,Malaysia,2013,57.0575
MYS,Malaysia,2014,63.6654
MYS,Malaysia,2015,71.0641
MYS,Malaysia,2016,78.7883
MYS,Malaysia,2017,80.1405
MYS,Malaysia,2018,81.201
MYS,Malaysia,2019,84.1871
MYS,Malaysia,2020,89.555
MYS,Malaysia,2021,96.7514
MYS,Malaysia,2022,97.3986
MYS,Malaysia,2023,97.6927
,,2024,97.6927
,,2025,97.6927
,,2026,97.6927
,,2027,97.6927
,,2028,97.6927
,,2029,97.6927
,,2030,97.6927
,,2031,97.6927
,,2032,97.6927
,,2033,97.6927
,,2034,97.6927
,,2035,97.6927
PHL,Philippines,2000,1.98225
PHL,Philippines,2001,2.52401
PHL,Philippines,2002,4.33228
PHL,Philippines,2003,4.85767
PHL,Philippines,2004,5.24363
PHL,Philippines,2005,5.39764
PHL,Philippines,2006,5.74059
PHL,Philippines,2007,5.97
PHL,Philippines,2008,6.22
PHL,Philippines,2009,9.0
PHL,Philippines,2010,25.0
PHL,Philippines,2011,29.0
PHL,Philippines,2012,30.8
PHL,Philippines,2013,32.7
PHL,Philippines,2014,34.7
PHL,Philippines,2015,36.9
PHL,Philippines,2016,39.2
PHL,Philippines,2017,41.6
PHL,Philippines,2018,44.1
PHL,Philippines,2019,43.0266
PHL,Philippines,2020,53.7649
PHL,Philippines,2021,63.4019
PHL,Philippines,2022,75.2111
,,2023,75.2111
,,2024,75.2111
,,2025,75.2111
,,2026,75.2111
,,2027,75.2111
,,2028,75.2111
,,2029,75.2111
,,2030,75.2111
,,2031,75.2111
,,2032,75.2111
,,2033,75.2111
,,2034,75.2111
,,2035,75.2111
SGP,Singapore,2000,36.0
SGP,Singapore,2001,41.6704
SGP,Singapore,2002,47.0
SGP,Singapore,2003,53.8379
SGP,Singapore,2004,62.0
SGP,Singapore,2005,61.0
SGP,Singapore,2006,59.0
SGP,Singapore,2007,69.9
SGP,Singapore,2008,69.0
SGP,Singapore,2009,69.0
SGP,Singapore,2010,71.0
SGP,Singapore,2011,71.0
SGP,Singapore,2012,72.0
SGP,Singapore,2013,80.9021
SGP,Singapore,2014,79.0292
SGP,Singapore,2015,79.013
SGP,Singapore,2016,84.4523
SGP,Singapore,2017,84.4523
SGP,Singapore,2018,88.1656
SGP,Singapore,2019,88.9493
SGP,Singapore,2020,92.0043
SGP,Singapore,2021,96.9247
SGP,Singapore,2022,95.9539
SGP,Singapore,2023,94.2863
,,2024,94.2863
,,2025,94.2863
,,2026,94.2863
,,2027,94.2863
,,2028,94.2863
,,2029,94.2863
,,2030,94.2863
,,2031,94.2863
,,2032,94.2863
,,2033,94.2863
,,2034,94.2863
,,2035,94.2863
THA,Thailand,2000,3.68904
THA,Thailand,2001,5.55633
THA,Thailand,2002,7.53125
THA,Thailand,2003,9.29903
THA,Thailand,2004,10.6773
THA,Thailand,2005,15.026
THA,Thailand,2006,17.1607
THA,Thailand,2007,20.03
THA,Thailand,2008,18.2
THA,Thailand,2009,20.1
THA,Thailand,2010,22.4
THA,Thailand,2011,23.6699
THA,Thailand,2012,26.46
THA,Thailand,2013,28.94
THA,Thailand,2014,34.8861
THA,Thailand,2015,39.3161
THA,Thailand,2016,47.505
THA,Thailand,2017,52.8919
THA,Thailand,2018,56.8175
THA,Thailand,2019,66.6524
THA,Thailand,2020,77.8437
THA,Thailand,2021,85.2696
THA,Thailand,2022,87.9772
THA,Thailand,2023,89.5352
,,2024,89.5352
,,2025,89.5352
,,2026,89.5352
,,2027,89.5352
,,2028,89.5352
,,2029,89.5352
,,2030,89.5352
,,2031,89.5352
,,2032,89.5352
,,2033,89.5352
,,2034,89.5352
,,2035,89.5352
VNM,Vietnam,2000,0.254248
VNM,Vietnam,2001,1.26565
VNM,Vietnam,2002,1.855
VNM,Vietnam,2003,3.78028
VNM,Vietnam,2004,7.64241
VNM,Vietnam,2005,12.7399
VNM,Vietnam,2006,17.2546
VNM,Vietnam,2007,20.7554
VNM,Vietnam,2008,23.92
VNM,Vietnam,2009,26.55
VNM,Vietnam,2010,30.65
VNM,Vietnam,2011,35.07
VNM,Vietnam,2012,36.8
VNM,Vietnam,2013,38.5
VNM,Vietnam,2014,41.0
VNM,Vietnam,2015,45.0
VNM,Vietnam,2016,53.0
VNM,Vietnam,2017,58.14
VNM,Vietnam,2018,69.8479
VNM,Vietnam,2019,68.6616
VNM,Vietnam,2020,70.3
VNM,Vietnam,2021,74.21
VNM,Vietnam,2022,78.59
VNM,Vietnam,2023,78.08
,,2024,78.08
,,2025,78.08
,,2026,78.08
,,2027,78.08
,,2028,78.08
,,2029,78.08
,,2030,78.08
,,2031,78.08
,,2032,78.08
,,2033,78.08
,,2034,78.08
,,2035,78.08
