country_code,country_name,year,Renewable electricity output (% of total)
,,2000,0.0536912751677852
,,2001,0.0536912751677852
,,2002,0.0536912751677852
,,2003,0.0536912751677852
,,2004,0.0536912751677852
,,2005,0.0536912751677852
,,2006,0.0536912751677852
,,2007,0.0536912751677852
,,2008,0.0536912751677852
,,2009,0.0536912751677852
,,2010,0.0536912751677852
BRN,Brunei Darussalam,2011,0.0536912751677852
BRN,Brunei Darussalam,2012,0.0508905852417303
BRN,Brunei Darussalam,2013,0.0454338936846888
BRN,Brunei Darussalam,2014,0.0443852640923213
BRN,Brunei Darussalam,2015,0.0476190476190476
,,2016,0.0476190476190476
,,2017,0.0476190476190476
,,2018,0.0476190476190476
,,2019,0.0476190476190476
,,2020,0.0476190476190476
,,2021,0.0476190476190476
,,2022,0.0476190476190476
,,2023,0.0476190476190476
,,2024,0.0476190476190476
,,2025,0.0476190476190476
,,2026,0.0476190476190476
,,2027,0.0476190476190476
,,2028,0.0476190476190476
,,2029,0.0476190476190476
,,2030,0.0476190476190476
,,2031,0.0476190476190476
,,2032,0.0476190476190476
,,2033,0.0476190476190476
,,2034,0.0476190476190476
,,2035,0.0476190476190476
IDN,Indonesia,2000,15.9560675060273
IDN,Indonesia,2001,17.474865190511
IDN,Indonesia,2002,14.9532883003595
IDN,Indonesia,2003,13.6385363003877
IDN,Indonesia,2004,13.6065178133036
IDN,Indonesia,2005,13.6055328591928
IDN,Indonesia,2006,12.2587772033185
IDN,Indonesia,2007,12.9038838981084
IDN,Indonesia,2008,13.3158324739161
IDN,Indonesia,2009,13.2330616046028
IDN,Indonesia,2010,15.8540249182646
IDN,Indonesia,2011,11.9928905172367
IDN,Indonesia,2012,11.2368144778283
IDN,Indonesia,2013,12.2701601703546
IDN,Indonesia,2014,11.4751004932507
IDN,Indonesia,2015,10.6511556345733
IDN,Indonesia,2016,12.0719582395239
IDN,Indonesia,2017,12.5605535137614
IDN,Indonesia,2018,17.0370007361396
IDN,Indonesia,2019,16.2466452115754
,,2020,16.2466452115754
,,2021,16.2466452115754
,,2022,16.2466452115754
,,2023,16.2466452115754
,,2024,16.2466452115754
,,2025,16.2466452115754
,,2026,16.2466452115754
,,2027,16.2466452115754
,,2028,16.2466452115754
,,2029,16.2466452115754
,,2030,16.2466452115754
,,2031,16.2466452115754
,,2032,16.2466452115754
,,2033,16.2466452115754
,,2034,16.2466452115754
,,2035,16.2466452115754
KHM,Cambodia,2000,0.223214285714286
KHM,Cambodia,2001,0.196463654223969
KHM,Cambodia,2002,4.12087912087912
KHM,Cambodia,2003,6.42201834862385
KHM,Cambodia,2004,5.15337423312883
KHM,Cambodia,2005,6.12033195020747
KHM,Cambodia,2006,5.76759966072943
KHM,Cambodia,2007,4.55764075067024
KHM,Cambodia,2008,4.3859649122807
KHM,Cambodia,2009,5.37124802527646
KHM,Cambodia,2010,5.5
KHM,Cambodia,2011,7.07547169811321
KHM,Cambodia,2012,37.6569037656904
KHM,Cambodia,2013,57.9302587176603
KHM,Cambodia,2014,61.1365120836055
KHM,Cambodia,2015,46.4180122811008
,,2016,46.4180122811008
,,2017,46.4180122811008
,,2018,46.4180122811008
,,2019,46.4180122811008
,,2020,46.4180122811008
,,2021,46.4180122811008
,,2022,46.4180122811008
,,2023,46.4180122811008
,,2024,46.4180122811008
,,2025,46.4180122811008
,,2026,46.4180122811008
,,2027,46.4180122811008
,,2028,46.4180122811008
,,2029,46.4180122811008
,,2030,46.4180122811008
,,2031,46.4180122811008
,,2032,46.4180122811008
,,2033,46.4180122811008
,,2034,46.4180122811008
,,2035,46.4180122811008
LAO,Lao PDR,2000,90.9088380274609
LAO,Lao PDR,2001,90.7550491299177
LAO,Lao PDR,2002,90.5991807969466
LAO,Lao PDR,2003,90.9039016083618
LAO,Lao PDR,2004,100.0
LAO,Lao PDR,2005,100.0
LAO,Lao PDR,2006,100.0
LAO,Lao PDR,2007,100.0
LAO,Lao PDR,2008,100.0
LAO,Lao PDR,2009,100.0
LAO,Lao PDR,2010,100.0
LAO,Lao PDR,2011,100.0
LAO,Lao PDR,2012,100.0
LAO,Lao PDR,2013,99.9651873436654
LAO,Lao PDR,2014,99.9667487290981
LAO,Lao PDR,2015,86.3699995757859
,,2016,86.3699995757859
,,2017,86.3699995757859
,,2018,86.3699995757859
,,2019,86.3699995757859
,,2020,86.3699995757859
,,2021,86.3699995757859
,,2022,86.3699995757859
,,2023,86.3699995757859
,,2024,86.3699995757859
,,2025,86.3699995757859
,,2026,86.3699995757859
,,2027,86.3699995757859
,,2028,86.3699995757859
,,2029,86.3699995757859
,,2030,86.3699995757859
,,2031,86.3699995757859
,,2032,86.3699995757859
,,2033,86.3699995757859
,,2034,86.3699995757859
,,2035,86.3699995757859
MMR,Myanmar,2000,36.967565455256
MMR,Myanmar,2001,38.8568991256131
MMR,Myanmar,2002,41.6535122336227
MMR,Myanmar,2003,38.2488479262673
MMR,Myanmar,2004,42.9310037439829
MMR,Myanmar,2005,49.8171542553192
MMR,Myanmar,2006,53.9422452952628
MMR,Myanmar,2007,56.5557118299734
MMR,Myanmar,2008,61.4768951978254
MMR,Myanmar,2009,75.4738655944859
MMR,Myanmar,2010,67.6786424499536
MMR,Myanmar,2011,76.1856505877584
MMR,Myanmar,2012,72.3630264629146
MMR,Myanmar,2013,72.0421327672083
MMR,Myanmar,2014,62.3649078194533
MMR,Myanmar,2015,58.8541014402004
,,2016,58.8541014402004
,,2017,58.8541014402004
,,2018,58.8541014402004
,,2019,58.8541014402004
,,2020,58.8541014402004
,,2021,58.8541014402004
,,2022,58.8541014402004
,,2023,58.8541014402004
,,2024,58.8541014402004
,,2025,58.8541014402004
,,2026,58.8541014402004
,,2027,58.8541014402004
,,2028,58.8541014402004
,,2029,58.8541014402004
,,2030,58.8541014402004
,,2031,58.8541014402004
,,2032,58.8541014402004
,,2033,58.8541014402004
,,2034,58.8541014402004
,,2035,58.8541014402004
MYS,Malaysia,2000,10.0584795321637
MYS,Malaysia,2001,9.92909796860053
MYS,Malaysia,2002,7.14487737208582
MYS,Malaysia,2003,6.44330882259236
MYS,Malaysia,2004,7.08643235622964
MYS,Malaysia,2005,6.28016401969204
MYS,Malaysia,2006,7.17243682511411
MYS,Malaysia,2007,6.65634357438779
MYS,Malaysia,2008,7.62875635218454
MYS,Malaysia,2009,7.00585329689749
MYS,Malaysia,2010,5.99265943294921
MYS,Malaysia,2011,6.71436859408238
MYS,Malaysia,2012,7.38348427233016
MYS,Malaysia,2013,8.57764477983057
MYS,Malaysia,2014,9.70780299588388
MYS,Malaysia,2015,9.95716845520007
,,2016,9.95716845520007
,,2017,9.95716845520007
,,2018,9.95716845520007
,,2019,9.95716845520007
,,2020,9.95716845520007
,,2021,9.95716845520007
,,2022,9.95716845520007
,,2023,9.95716845520007
,,2024,9.95716845520007
,,2025,9.95716845520007
,,2026,9.95716845520007
,,2027,9.95716845520007
,,2028,9.95716845520007
,,2029,9.95716845520007
,,2030,9.95716845520007
,,2031,9.95716845520007
,,2032,9.95716845520007
,,2033,9.95716845520007
,,2034,9.95716845520007
,,2035,9.95716845520007
PHL,Philippines,2000,42.8902627511592
PHL,Philippines,2001,37.2922422954304
PHL,Philippines,2002,35.6428085088823
PHL,Philippines,2003,33.4189648658859
PHL,Philippines,2004,33.7312579301964
PHL,Philippines,2005,32.365159898881
PHL,Philippines,2006,36.0283887783315
PHL,Philippines,2007,31.5998725067521
PHL,Philippines,2008,33.9159171996514
PHL,Philippines,2009,32.5850680706061
PHL,Philippines,2010,26.2983082873254
PHL,Philippines,2011,28.6558922169539
PHL,Philippines,2012,28.4444810136998
PHL,Philippines,2013,26.4036882523317
PHL,Philippines,2014,25.5973182159406
PHL,Philippines,2015,25.4134663220608
,,2016,25.4134663220608
,,2017,25.4134663220608
,,2018,25.4134663220608
,,2019,25.4134663220608
,,2020,25.4134663220608
,,2021,25.4134663220608
,,2022,25.4134663220608
,,2023,25.4134663220608
,,2024,25.4134663220608
,,2025,25.4134663220608
,,2026,25.4134663220608
,,2027,25.4134663220608
,,2028,25.4134663220608
,,2029,25.4134663220608
,,2030,25.4134663220608
,,2031,25.4134663220608
,,2032,25.4134663220608
,,2033,25.4134663220608
,,2034,25.4134663220608
,,2035,25.4134663220608
SGP,Singapore,2000,0.773724932891205
SGP,Singapore,2001,1.42947807428451
SGP,Singapore,2002,1.36452804061851
SGP,Singapore,2003,1.40099626400996
SGP,Singapore,2004,1.3012414767325
SGP,Singapore,2005,1.25088320728548
SGP,Singapore,2006,1.20937072156584
SGP,Singapore,2007,1.18396421364841
SGP,Singapore,2008,1.2584797564542
SGP,Singapore,2009,1.29826008881555
SGP,Singapore,2010,1.3050858667137
SGP,Singapore,2011,1.32774131861446
SGP,Singapore,2012,1.35828489919312
SGP,Singapore,2013,1.54683232921262
SGP,Singapore,2014,1.66261644390441
SGP,Singapore,2015,1.82088664088069
,,2016,1.82088664088069
,,2017,1.82088664088069
,,2018,1.82088664088069
,,2019,1.82088664088069
,,2020,1.82088664088069
,,2021,1.82088664088069
,,2022,1.82088664088069
,,2023,1.82088664088069
,,2024,1.82088664088069
,,2025,1.82088664088069
,,2026,1.82088664088069
,,2027,1.82088664088069
,,2028,1.82088664088069
,,2029,1.82088664088069
,,2030,1.82088664088069
,,2031,1.82088664088069
,,2032,1.82088664088069
,,2033,1.82088664088069
,,2034,1.82088664088069
,,2035,1.82088664088069
THA,Thailand,2000,6.81100680371339
THA,Thailand,2001,6.63639914079281
THA,Thailand,2002,7.48442846266042
THA,Thailand,2003,7.22498140755494
THA,Thailand,2004,5.823729191025
THA,Thailand,2005,5.54475517598735
THA,Thailand,2006,6.91715558374537
