country_code,country_name,year,Access to clean fuels and technologies for cooking
BRN,Brunei Darussalam,2000,100.0
BRN,Brunei Darussalam,2001,100.0
BRN,Brunei Darussalam,2002,100.0
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
BRN,Brunei Darussalam,2008,100.0
BRN,Brunei Darussalam,2009,100.0
BRN,Brunei Darussalam,2010,100.0
BRN,Brunei Darussalam,2011,100.0
BRN,Brunei Darussalam,2012,100.0
BRN,Brunei Darussalam,2013,100.0
BRN,Brunei Darussalam,2014,100.0
BRN,Brunei Darussalam,2015,100.0
BRN,Brunei Darussalam,2016,100.0
BRN,Brunei Darussalam,2017,100.0
BRN,Brunei Darussalam,2018,100.0
BRN,Brunei Darussalam,2019,100.0
BRN,Brunei Darussalam,2020,100.0
BRN,Brunei Darussalam,2021,100.0
BRN,Brunei Darussalam,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
IDN,Indonesia,2000,6.7
IDN,Indonesia,2001,7.5
IDN,Indonesia,2002,8.8
IDN,Indonesia,2003,10.4
IDN,Indonesia,2004,12.5
IDN,Indonesia,2005,15.0
IDN,Indonesia,2006,18.5
IDN,Indonesia,2007,23.0
IDN,Indonesia,2008,28.45
IDN,Indonesia,2009,34.2
IDN,Indonesia,2010,40.6
IDN,Indonesia,2011,46.6
IDN,Indonesia,2012,52.6
IDN,Indonesia,2013,58.1
IDN,Indonesia,2014,63.0
IDN,Indonesia,2015,67.3
IDN,Indonesia,2016,71.6
IDN,Indonesia,2017,75.5
IDN,Indonesia,2018,78.9
IDN,Indonesia,2019,82.1
IDN,Indonesia,2020,84.8
IDN,Indonesia,2021,87.2
IDN,Indonesia,2022,89.1
,,2023,89.1
,,2024,89.1
,,2025,89.1
,,2026,89.1
,,2027,89.1
,,2028,89.1
,,2029,89.1
,,2030,89.1
,,2031,89.1
,,2032,89.1
,,2033,89.1
,,2034,89.1
,,2035,89.1
KHM,Cambodia,2000,3.5
KHM,Cambodia,2001,4.1
KHM,Cambodia,2002,4.6
KHM,Cambodia,2003,5.2
KHM,Cambodia,2004,6.1
KHM,Cambodia,2005,6.8
KHM,Cambodia,2006,7.5
KHM,Cambodia,2007,8.4
KHM,Cambodia,2008,9.4
KHM,Cambodia,2009,10.4
KHM,Cambodia,2010,11.5
KHM,Cambodia,2011,12.9
KHM,Cambodia,2012,14.5
KHM,Cambodia,2013,16.1
KHM,Cambodia,2014,18.2
KHM,Cambodia,2015,20.7
KHM,Cambodia,2016,23.4
KHM,Cambodia,2017,26.9
KHM,Cambodia,2018,31.2
KHM,Cambodia,2019,35.7
KHM,Cambodia,2020,41.3
KHM,Cambodia,2021,47.2
KHM,Cambodia,2022,53.5
,,2023,53.5
,,2024,53.5
,,2025,53.5
,,2026,53.5
,,2027,53.5
,,2028,53.5
,,2029,53.5
,,2030,53.5
,,2031,53.5
,,2032,53.5
,,2033,53.5
,,2034,53.5
,,2035,53.5
LAO,Lao PDR,2000,1.3
LAO,Lao PDR,2001,1.4
LAO,Lao PDR,2002,1.5
LAO,Lao PDR,2003,1.6
LAO,Lao PDR,2004,1.8
LAO,Lao PDR,2005,2.0
LAO,Lao PDR,2006,2.3
LAO,Lao PDR,2007,2.5
LAO,Lao PDR,2008,2.9
